HOW_CcmuNumber,HOW_DateActive,HOW_DateInactive,HOW_IdNumber,HOW_ChangedBy,HOW_DateChanged
385181,03/05/2010 00:00:00,12/31/2999 00:00:00,1705,Admin,2010-03-05 00:00:00.000000
385182,11/17/1993 00:00:00,04/01/2003 00:00:00,68,,
385182,04/02/2003 00:00:00,09/01/2003 00:00:00,68,carolyn,2003-04-17 00:00:00.000000
385182,09/02/2003 00:00:00,12/31/2999 00:00:00,1133,carolyn,2003-08-26 00:00:00.000000
385183,02/02/1994 00:00:00,12/31/1998 00:00:00,69,,
385183,01/01/1999 00:00:00,12/31/1999 00:00:00,19,,
385183,01/01/2000 00:00:00,04/30/2015 00:00:00,442,carolyn,2001-01-24 00:00:00.000000
385183,05/01/2015 00:00:00,12/31/2999 00:00:00,2496,Admin,2015-05-01 00:00:00.000000
385185,10/27/1993 00:00:00,10/06/2006 00:00:00,70,,
385185,10/07/2006 00:00:00,12/31/2999 00:00:00,1672,Admin,2006-10-11 00:00:00.000000
385187,11/15/1993 00:00:00,12/31/2999 00:00:00,71,,
385188,02/01/1994 00:00:00,05/31/1997 00:00:00,73,,
385188,06/01/1997 00:00:00,12/31/2999 00:00:00,72,,
385189,11/03/1993 00:00:00,04/01/2001 00:00:00,5,,
385189,04/02/2001 00:00:00,05/31/2014 00:00:00,747,carolyn,2001-08-28 00:00:00.000000
385189,06/01/2014 00:00:00,12/31/2999 00:00:00,2708,Admin,2014-05-29 00:00:00.000000
385190,11/17/1993 00:00:00,03/06/2001 00:00:00,74,,
385190,03/07/2001 00:00:00,06/21/2013 00:00:00,604,carolyn,2001-03-08 00:00:00.000000
385190,06/22/2013 00:00:00,05/28/2014 00:00:00,2688,Admin,2014-04-28 00:00:00.000000
385190,05/29/2014 00:00:00,07/17/2016 00:00:00,604,Admin,2014-05-28 00:00:00.000000
385190,07/18/2016 00:00:00,12/31/2999 00:00:00,2688,Admin,2016-09-23 00:00:00.000000
385193,05/27/1994 00:00:00,12/31/2999 00:00:00,75,,
385194,02/02/1994 00:00:00,12/31/1998 00:00:00,69,,
385194,01/01/1999 00:00:00,12/31/1999 00:00:00,19,,
385194,01/01/2000 00:00:00,07/10/2001 00:00:00,442,carolyn,2001-01-24 00:00:00.000000
385195,11/02/1993 00:00:00,06/30/1998 00:00:00,78,,
385195,07/01/1998 00:00:00,08/31/2000 00:00:00,5,,
385195,09/01/2000 00:00:00,12/31/2999 00:00:00,476,carolyn,2000-09-20 00:00:00.000000
385197,11/24/1993 00:00:00,12/31/2999 00:00:00,76,,
385198,04/10/1993 00:00:00,04/30/1997 00:00:00,78,,
385198,05/01/1997 00:00:00,07/20/2001 00:00:00,77,,
385199,12/17/1993 00:00:00,05/31/1997 00:00:00,80,,
385199,06/01/1997 00:00:00,08/01/1998 00:00:00,79,,
385199,08/02/1998 00:00:00,01/26/2000 00:00:00,52,carolyn,2000-03-21 00:00:00.000000
385199,01/27/2000 00:00:00,12/31/2999 00:00:00,602,carolyn,2001-02-28 00:00:00.000000
385200,11/26/1993 00:00:00,12/31/2999 00:00:00,81,,
385201,12/08/1994 00:00:00,12/31/1999 00:00:00,82,,
385201,01/01/2000 00:00:00,04/30/2002 00:00:00,584,carolyn,2001-02-05 00:00:00.000000
385201,05/01/2002 00:00:00,12/31/2999 00:00:00,895,carolyn,2002-04-30 00:00:00.000000
385202,11/03/1993 00:00:00,06/27/2003 00:00:00,83,,
